DateTime,High,Open,Close,Low,Volume,MA7,RSI14
23/09/2016 16:00:00,538.58,536,537.93,536,19.7318,536.10285714285714285714285714,75.21
23/09/2016 17:00:00,540.1,537.9,538.4,537.73,13.59131197,536.58857142857142857142857143,76.85
23/09/2016 18:00:00,538.41,538.4,538.03,538.02,14.46,536.96428571428571428571428571,72.77
23/09/2016 19:00:00,538.28,538.01,538.13,537.77,3.96,537.29142857142857142857142857,73.19
23/09/2016 20:00:00,538.13,538.13,537.66,536.69,17.1712,537.45,67.96
23/09/2016 21:00:00,537.83,537.66,537.5,537.29,18.05,537.66428571428571428571428571,66.22
23/09/2016 22:00:00,538.42,537.51,538.41,537.51,3.281,538.00857142857142857142857143,70.79
23/09/2016 23:00:00,538.4,538.4,538.25,538.25,1.87,538.05428571428571428571428571,69.02
24/09/2016 00:00:00,538.53,538.26,538.53,538.26,0.72,538.07285714285714285714285714,70.41
24/09/2016 01:00:00,538.51,538.51,538.34,538.24,1.12,538.11714285714285714285714286,68.18
24/09/2016 02:00:00,538.32,538.32,538.18,538.15,0.21,538.12428571428571428571428571,66.27
24/09/2016 03:00:00,538.18,538.18,538.17,538.17,0.29,538.19714285714285714285714286,66.14
24/09/2016 04:00:00,538.55,538.18,538.55,538.18,0.83,538.34714285714285714285714286,68.56
24/09/2016 05:00:00,539.58,538.56,539.58,538.56,1.77,538.51428571428571428571428571,73.99
24/09/2016 06:00:00,539.58,539.58,539.48,539.12,12.658304,538.69,72.68
24/09/2016 07:00:00,539.49,539.48,539.48,539.47,3.97,538.82571428571428571428571429,72.68
24/09/2016 08:00:00,539.48,539.48,539.34,539.15,10.92558547,538.96857142857142857142857143,70.79
24/09/2016 09:00:00,539.33,539.33,539.32,536.21,32.64540878,539.13142857142857142857142857,70.50
24/09/2016 10:00:00,539.35,539.32,539.35,538.22,21.21,539.30,70.69
24/09/2016 11:00:00,539.35,539.34,539.19,538.86,8.12,539.39142857142857142857142857,68.18
24/09/2016 12:00:00,539.35,539.18,539.33,539.18,7.6,539.35571428571428571428571429,69.21
24/09/2016 13:00:00,540.13,539.35,540.13,539.33,6.033591,539.44857142857142857142857143,74.33
24/09/2016 14:00:00,540.17,540.17,538.81,538.4,10.13,539.35285714285714285714285714,57.39
24/09/2016 15:00:00,538.81,538.81,537.98,537.76,10.315637,539.15857142857142857142857143,49.72
24/09/2016 16:00:00,538.08,537.98,538.06,537.97,4.79,538.97857142857142857142857143,50.41
24/09/2016 17:00:00,538.06,538.06,538.05,538.05,5.65,538.79285714285714285714285714,50.32
24/09/2016 18:00:00,538.05,538.05,538.01,537.52,5.111097,538.62428571428571428571428571,49.92
24/09/2016 19:00:00,538.81,538.02,538.66,537.91,9.130721,538.52857142857142857142857143,55.98
24/09/2016 20:00:00,539.47,538.66,538.29,537.79,16.56,538.26571428571428571428571429,52.11
24/09/2016 21:00:00,540.06,538.29,540.06,538.29,6.01,538.44428571428571428571428571,64.67
24/09/2016 22:00:00,540.17,540.06,540.17,540.06,1.44,538.75714285714285714285714286,65.28
24/09/2016 23:00:00,540.17,540.17,539.98,539.98,1.59,539.03142857142857142857142857,63.25
25/09/2016 00:00:00,539.98,539.98,539.98,539.98,0.22,539.30714285714285714285714286,63.25
25/09/2016 01:00:00,539.98,539.98,539.94,539.94,0.33,539.58285714285714285714285714,62.81
25/09/2016 02:00:00,539.94,539.94,539.85,539.83,0.598723,539.75285714285714285714285714,61.76
25/09/2016 03:00:00,539.84,539.84,539.84,539.84,0.02,539.97428571428571428571428571,61.64
25/09/2016 04:00:00,539.84,539.84,539.84,539.84,1.350244,539.94285714285714285714285714,61.64
25/09/2016 05:00:00,539.84,539.84,538.88,538.88,3.314995,539.75857142857142857142857143,51.11
25/09/2016 06:00:00,538.88,538.88,538.63,536.67,10.0032,539.56571428571428571428571429,48.78
25/09/2016 07:00:00,538.63,538.63,538.48,538.47,6.03,539.35142857142857142857142857,47.38
25/09/2016 08:00:00,538.79,538.48,538.79,538.47,2.54,539.18714285714285714285714286,50.54
25/09/2016 09:00:00,538.86,538.79,538.46,537.64,15.550261,538.98857142857142857142857143,47.28
25/09/2016 10:00:00,538.86,538.47,538.86,538.47,3.02,538.84857142857142857142857143,51.37
25/09/2016 11:00:00,538.98,538.86,538.78,538.48,8.03,538.69714285714285714285714286,50.53
25/09/2016 12:00:00,539.07,538.78,538.93,538.71,11.05,538.70428571428571428571428571,52.11
25/09/2016 13:00:00,538.94,538.94,538.83,538.46,14.62,538.73285714285714285714285714,50.94
25/09/2016 14:00:00,538.83,538.83,535.57,535.38,13.1855,538.31714285714285714285714286,28.45
25/09/2016 15:00:00,535.84,535.58,535.8,535.58,6.371247,537.89,30.77
25/09/2016 16:00:00,536.08,535.8,536.08,535.8,10.38533969,537.55,33.60
25/09/2016 17:00:00,536.35,536.08,536.33,536.07,5.858782,537.18857142857142857142857143,36.11
25/09/2016 18:00:00,538.66,536.36,537.16,536.36,16.602834,536.95714285714285714285714286,43.71
25/09/2016 19:00:00,537.79,537.16,537.4,537.11,5.8,536.73857142857142857142857143,45.72
25/09/2016 20:00:00,537.41,537.41,536.65,536.64,6.529,536.42714285714285714285714286,40.81
25/09/2016 21:00:00,537.24,536.65,537.22,535,22.655234,536.66285714285714285714285714,45.59
25/09/2016 22:00:00,537.34,537.23,537.06,537.03,1.765,536.84285714285714285714285714,44.50
25/09/2016 23:00:00,537.06,537.06,537.06,537.05,1.86,536.98285714285714285714285714,44.50
26/09/2016 00:00:00,537.06,537.06,537.06,537.06,0.62,537.08714285714285714285714286,44.50
26/09/2016 01:00:00,537.06,537.06,537.04,537,1.487821,537.07,44.36
26/09/2016 02:00:00,537.04,537.04,536.89,536.88,0.83,536.99714285714285714285714286,43.24
26/09/2016 03:00:00,536.9,536.89,536.9,536.89,0.23,537.03285714285714285714285714,43.35
26/09/2016 04:00:00,537.04,536.88,536.99,536.83,3.472,537.00,44.32
26/09/2016 05:00:00,537.44,536.99,537.36,536.89,2.213034,537.04285714285714285714285714,48.26
26/09/2016 06:00:00,537.61,537.36,535.04,533.39,13.832014,536.75428571428571428571428571,32.66
26/09/2016 07:00:00,537.73,535.03,537.64,533.45,10.5018,536.83714285714285714285714286,51.56
26/09/2016 08:00:00,539.92,537.64,539.92,537.62,9.46769185,537.24857142857142857142857143,61.70
26/09/2016 09:00:00,541.49,539.92,541.49,538,22.227772,537.90571428571428571428571429,66.85
26/09/2016 10:00:00,541.49,541.49,541.39,540.28,18.28,538.54714285714285714285714286,66.24
26/09/2016 11:00:00,542.5,541.38,540,539.55,24.781093,538.97714285714285714285714286,58.27
26/09/2016 12:00:00,541.9,539.99,541.8,539.99,11.81,539.61142857142857142857142857,64.27
26/09/2016 13:00:00,542.48,541.79,542.45,540.91,10.28,540.67,66.16
26/09/2016 14:00:00,542.49,541.79,541.58,540.53,21.238802,541.23285714285714285714285714,61.47
26/09/2016 15:00:00,541.84,541.48,540.75,540.75,15.4491,541.35142857142857142857142857,57.30
26/09/2016 16:00:00,541.5,540.75,541.5,540.63,9.84,541.35285714285714285714285714,59.94
26/09/2016 17:00:00,542.49,541.39,542.49,541.31,10.07,541.51,63.19
26/09/2016 18:00:00,543.45,542.49,541.12,540.95,20.22,541.67,56.38
26/09/2016 19:00:00,542.73,541.12,540.92,540.58,12.71,541.54428571428571428571428571,55.44
26/09/2016 20:00:00,543.36,540.81,542.68,540.8,17.71,541.57714285714285714285714286,61.51
26/09/2016 21:00:00,542.68,542.68,542.34,542.33,4.66,541.68571428571428571428571429,59.82
26/09/2016 22:00:00,543.28,542.37,542.15,542.15,5.1827,541.88571428571428571428571429,58.84
26/09/2016 23:00:00,542.15,542.15,541.87,541.87,11.72630724,541.93857142857142857142857143,57.36
27/09/2016 00:00:00,542.21,541.86,542.18,541.77,2.95,541.89428571428571428571428571,58.60
27/09/2016 01:00:00,542.4,542.22,541.89,541.8,2.63,542.00428571428571428571428571,56.93
27/09/2016 02:00:00,542.01,541.89,541.58,541.58,2.65,542.09857142857142857142857143,55.11
27/09/2016 03:00:00,541.57,541.57,541.46,541.37,1.87,541.92428571428571428571428571,54.39
27/09/2016 04:00:00,541.46,541.46,541.42,541.33,1.88,541.79285714285714285714285714,54.14
27/09/2016 05:00:00,541.33,541.33,541.08,540.99,6.906005,541.64,51.91
27/09/2016 06:00:00,541.03,541.03,540.55,540.4,9.01702199,541.45142857142857142857142857,48.56
27/09/2016 07:00:00,542.06,540.55,541.57,540.33,7.700421,541.36428571428571428571428571,54.63
27/09/2016 08:00:00,541.57,541.56,541.01,540.11,16.58,541.23857142857142857142857143,51.07
27/09/2016 09:00:00,541.52,541.01,541.52,540.18,18.80279,541.23,54.01
27/09/2016 10:00:00,541.53,541.52,539.02,538.48,23.942,540.88142857142857142857142857,41.00
27/09/2016 11:00:00,541.36,539.03,541.17,539.02,13.43,540.84571428571428571428571429,51.76
27/09/2016 12:00:00,541.57,541.17,541.31,541.16,15.79678826,540.87857142857142857142857143,52.37
27/09/2016 13:00:00,541.57,541.41,541.19,540.36,21.00999999,540.97,51.77
27/09/2016 14:00:00,541.57,541.17,541.56,540.88,7.450987,540.96857142857142857142857143,53.54
27/09/2016 15:00:00,541.57,541.57,541.57,540.93,11.0283,541.04857142857142857142857143,53.59
27/09/2016 16:00:00,542.4,541.57,542.28,541.34,18.53,541.15714285714285714285714286,57.11
27/09/2016 17:00:00,543.05,542.28,543.04,542.16,12.47,541.73142857142857142857142857,60.55
27/09/2016 18:00:00,543.03,543.03,541.74,541.46,15.41,541.81285714285714285714285714,52.75
27/09/2016 19:00:00,542.44,541.74,542.35,541.53,29.183,541.96142857142857142857142857,55.64
